Day	Label	Bag
D16	CrenatedDisc_	F2
D29	CrenatedDisc_	F2
D14	CrenatedDisc_	CE52
D9	CrenatedDisc_	A1
D5	CrenatedDisc_	CE49
D2	CrenatedDisc_	CE48
D14	CrenatedDisc_	CE48
D42	CrenatedDisc_	D3
D42	CrenatedDisc_	D3
D9	CrenatedDisc_	CE50
D11	CrenatedDisc_	A1
D5	CrenatedDisc_	CE48
D29	CrenatedDisc_	CE49
D21	CrenatedDisc_	CE50
D42	CrenatedDisc_	CE49
D2	CrenatedDisc_	F2
D16	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D28	CrenatedDisc_	CE49
D42	CrenatedDisc_	CE52
D9	CrenatedDisc_	CE48
D39	CrenatedDisc_	A1
D11	CrenatedDisc_	B2
D36	CrenatedDisc_	F2
D42	CrenatedDisc_	F2
D5	CrenatedDisc_	CE48
D30	CrenatedDisc_	B2
D32	CrenatedDisc_	A1
D9	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE52
D2	CrenatedDisc_	CE48
D49	CrenatedDisc_	H3
D37	CrenatedDisc_	A1
D16	CrenatedDisc_	CE50
D37	CrenatedDisc_	A1
D9	CrenatedDisc_	F2
D23	CrenatedDisc_	CE50
D14	CrenatedDisc_	A1
D2	CrenatedDisc_	CE48
D42	CrenatedDisc_	D3
D49	CrenatedDisc_	H3
D16	CrenatedDisc_	A1
D36	CrenatedDisc_	F2
D42	CrenatedDisc_	CE48
D23	CrenatedDisc_	A1
D2	CrenatedDisc_	CE49
D26	CrenatedDisc_	F2
D14	CrenatedDisc_	CE52
D36	CrenatedDisc_	F2
D39	CrenatedDisc_	CE50
D37	CrenatedDisc_	CE50
D39	CrenatedDisc_	CE50
D23	CrenatedDisc_	CE50
D26	CrenatedDisc_	CE48
D42	CrenatedDisc_	CE48
D29	CrenatedDisc_	F2
D23	CrenatedDisc_	CE48
D18	CrenatedDisc_	B2
D9	CrenatedDisc_	CE48
D30	CrenatedDisc_	CE50
D9	CrenatedDisc_	CE50
D23	CrenatedDisc_	CE50
D32	CrenatedDisc_	B2
D14	CrenatedDisc_	CE52
D14	CrenatedDisc_	F2
D42	CrenatedDisc_	D3
D2	CrenatedDisc_	CE52
D14	CrenatedDisc_	CE49
D30	CrenatedDisc_	CE50
D21	CrenatedDisc_	CE50
D5	CrenatedDisc_	CE49
D16	CrenatedDisc_	B2
D16	CrenatedDisc_	CE48
D37	CrenatedDisc_	A1
D37	CrenatedDisc_	CE50
D42	CrenatedDisc_	F2
D42	CrenatedDisc_	D3
D32	CrenatedDisc_	A1
D14	CrenatedDisc_	B2
D28	CrenatedDisc_	CE50
D18	CrenatedDisc_	A1
D2	CrenatedDisc_	CE52
D39	CrenatedDisc_	A1
D16	CrenatedDisc_	F2
D23	CrenatedDisc_	CE48
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	F2
D42	CrenatedDisc_	CE49
D39	CrenatedDisc_	A1
D14	CrenatedDisc_	CE52
D2	CrenatedDisc_	F2
D21	CrenatedDisc_	B2
D28	CrenatedDisc_	CE48
D9	CrenatedDisc_	CE48
D18	CrenatedDisc_	B2
D36	CrenatedDisc_	CE48
D16	CrenatedDisc_	B2
D11	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE48
D2	CrenatedDisc_	CE48
D42	CrenatedDisc_	CE52
D30	CrenatedDisc_	B2
D14	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE50
D23	CrenatedDisc_	CE48
D30	CrenatedDisc_	A1
D16	CrenatedDisc_	B2
D42	CrenatedDisc_	D3
D9	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D30	CrenatedDisc_	B2
D49	CrenatedDisc_	H3
D16	CrenatedDisc_	B2
D28	CrenatedDisc_	B2
D37	CrenatedDisc_	A1
D42	CrenatedDisc_	CE48
D16	CrenatedDisc_	A1
D42	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D32	CrenatedDisc_	B2
D14	CrenatedDisc_	CE50
D36	CrenatedDisc_	CE49
D39	CrenatedDisc_	A1
D23	CrenatedDisc_	F2
D21	CrenatedDisc_	CE50
D23	CrenatedDisc_	B2
D23	CrenatedDisc_	CE48
D23	CrenatedDisc_	CE49
D37	CrenatedDisc_	B2
D23	CrenatedDisc_	B2
D39	CrenatedDisc_	A1
D18	CrenatedDisc_	B2
D16	CrenatedDisc_	CE50
D11	CrenatedDisc_	B2
D11	CrenatedDisc_	CE50
D36	CrenatedDisc_	F2
D2	CrenatedDisc_	CE49
D42	CrenatedDisc_	CE52
D9	CrenatedDisc_	F2
D42	CrenatedDisc_	CE49
D18	CrenatedDisc_	B2
D42	CrenatedDisc_	A1
D32	CrenatedDisc_	B2
D29	CrenatedDisc_	F2
D9	CrenatedDisc_	B2
D16	CrenatedDisc_	CE49
D9	CrenatedDisc_	CE50
D23	CrenatedDisc_	CE49
D30	CrenatedDisc_	CE50
D28	CrenatedDisc_	A1
D26	CrenatedDisc_	F2
D23	CrenatedDisc_	CE50
D14	CrenatedDisc_	CE52
D16	CrenatedDisc_	F2
D42	CrenatedDisc_	D3
D28	CrenatedDisc_	A1
D28	CrenatedDisc_	CE50
D39	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D42	CrenatedDisc_	CE52
D2	CrenatedDisc_	CE52
D39	CrenatedDisc_	CE50
D28	CrenatedDisc_	B2
D16	CrenatedDisc_	CE48
D28	CrenatedDisc_	CE50
D16	CrenatedDisc_	F2
D49	CrenatedDisc_	H3
D14	CrenatedDisc_	CE50
D16	CrenatedDisc_	B2
D2	CrenatedDisc_	CE48
D14	CrenatedDisc_	CE49
D37	CrenatedDisc_	B2
D14	CrenatedDisc_	F2
D14	CrenatedDisc_	CE52
D14	CrenatedDisc_	CE49
D23	CrenatedDisc_	A1
D2	CrenatedDisc_	CE48
D16	CrenatedDisc_	CE50
D30	CrenatedDisc_	CE50
D2	CrenatedDisc_	CE52
D9	CrenatedDisc_	F2
D11	CrenatedDisc_	B2
D14	CrenatedDisc_	CE50
D29	CrenatedDisc_	F2
D14	CrenatedDisc_	B2
D42	CrenatedDisc_	D3
D23	CrenatedDisc_	CE48
D5	CrenatedDisc_	CE49
D23	CrenatedDisc_	F2
D9	CrenatedDisc_	A1
D14	CrenatedDisc_	CE52
